Timestamp,Temperature_C,Temperature_F,Humidity_%
2026-07-10 17:50:57,23.7,74.7,51.0
2026-07-10 17:50:59,24.1,75.4,49.1
2026-07-10 17:51:02,24.1,75.4,49.1
2026-07-10 17:51:04,24.1,75.4,49.2
2026-07-10 17:51:06,24.2,75.6,49.2
2026-07-10 17:51:08,24.1,75.4,49.3
2026-07-10 17:51:11,24.1,75.4,49.4
2026-07-10 17:51:13,24.1,75.4,49.5
2026-07-10 17:51:15,24.1,75.4,49.6
2026-07-10 17:59:45,24.1,75.4,51.4
2026-07-10 17:59:48,24.4,75.9,48.3
2026-07-10 17:59:50,24.4,75.9,48.2
2026-07-10 17:59:52,24.4,75.9,48.2
2026-07-10 17:59:54,24.4,75.9,48.2
2026-07-10 17:59:57,24.4,75.9,49.2
2026-07-10 17:59:59,24.5,76.1,52.1
2026-07-10 18:00:01,24.5,76.1,55.3
2026-07-10 18:00:03,24.5,76.1,58.0
2026-07-10 18:00:06,24.5,76.1,58.7
2026-07-10 18:00:08,24.5,76.1,58.5
2026-07-10 18:00:10,24.5,76.1,57.9
2026-07-10 18:00:12,24.6,76.3,57.3
2026-07-10 18:00:15,24.6,76.3,56.6
2026-07-10 18:00:17,24.6,76.3,55.8
2026-07-10 18:00:19,24.6,76.3,55.1
2026-07-10 18:00:21,24.6,76.3,54.5
2026-07-10 18:00:24,24.7,76.5,53.9
2026-07-10 18:03:08,24.7,76.5,53.3
2026-07-10 18:03:10,24.5,76.1,47.9
2026-07-10 18:03:12,24.5,76.1,48.0
2026-07-10 18:03:14,24.5,76.1,47.9
2026-07-10 18:03:19,24.5,76.1,47.9
2026-07-10 18:03:21,24.5,76.1,47.8
2026-07-10 18:03:23,24.5,76.1,47.9
2026-07-10 18:03:26,24.5,76.1,47.9
2026-07-10 18:03:28,24.5,76.1,47.9
2026-07-10 18:03:30,24.5,76.1,47.9
2026-07-10 18:03:32,24.5,76.1,47.8
2026-07-10 18:03:35,24.5,76.1,47.9
2026-07-10 18:03:37,24.5,76.1,47.9
2026-07-10 18:03:39,24.5,76.1,47.9
2026-07-10 18:03:41,24.5,76.1,47.9
2026-07-10 18:03:44,24.5,76.1,47.9
2026-07-10 18:03:46,24.5,76.1,47.9
2026-07-10 18:03:48,24.5,76.1,47.9
2026-07-10 18:03:50,24.5,76.1,47.9
2026-07-10 18:03:53,24.5,76.1,47.9
2026-07-10 18:03:55,24.5,76.1,47.9
2026-07-10 18:03:57,24.5,76.1,47.8
2026-07-10 18:03:59,24.5,76.1,47.8
2026-07-10 18:04:02,24.5,76.1,47.9
2026-07-10 18:04:04,24.5,76.1,47.8
2026-07-10 18:04:06,24.5,76.1,47.8
